acresburned,adminunit,archiveyear,county,extinguished,fatalities,latitude,firelocation,longitude,firename,searchdescription,started,structuresdamaged,structuresdestroyed,structuresevacuated,structuresthreatened,timestarted,timeextinguished,dayofweekstartedname,dayofweekstartednum,duration,date_established,population_jul_2019,areasqmi,areakm2,popdensitypersqmi,caucus
257314.0,Stanislaus National Forest/Yosemite National Park,2013,Tuolumne,2013-09-06 18:30:00+00:00,,37.857,3 miles east of Groveland along Hwy 120,-120.086,Rim Fire,The Rim Fire was east of Groveland along Highway 20.,2013-08-17 15:25:00+00:00,,,,,2013-08-17 15:25:00+00:00,2013-09-06 18:30:00+00:00,Sat,6,20.128472222222218,1850,55620,2236,5791,24.87477638640429,Rural
1070.0,Stanislaus National Forest,2013,"Tuolumne, Madera",2013-08-14 08:30:00+00:00,,38.25108,"Near Beardsley Lake, northeast of Sonora",-120.02778,Power Fire,"The Power Fire burned in August 2013 near Beardsley Lake, northeast of Sonora on the Stanislaus National Forest in Tuolumne County. ",2013-08-05 06:00:00+00:00,,,,,2013-08-05 06:00:00+00:00,2013-08-14 08:30:00+00:00,Mon,1,9.104166666666666,1850,55620,2236,5791,24.87477638640429,"Rural, Rural"
100.0,CAL FIRE Tuolumne-Calaveras Unit,2013,"Tuolumne, Fresno, Plumas, Lake",2013-06-02 16:55:00+00:00,,37.91529,off Lime Kiln Rd,-120.33313,Murphy Fire,The Murphy Fire burned in June 2013 off Lime Kiln Road in Tuolumne County. ,2013-06-02 13:30:00+00:00,,,,,2013-06-02 13:30:00+00:00,2013-06-02 16:55:00+00:00,Sun,0,0.1423611111111111,1850,55620,2236,5791,24.87477638640429,"Rural, Urban, Rural, Rural"
487.0,CAL FIRE Tuolumne-Calaveras Unit,2014,Tuolumne,2014-06-05 20:00:00+00:00,,37.76617,"near Bonds Flat Rd & La Grange Rd (J59), west of Don Pedro Reservoir",-120.45087,59 Fire,"The 59 Fire started on June 4, 2014 and burned 487 acres near Bonds Flat Rd & La Grange Rd (J59), west of Don Pedro Reservoir in Tuolumne County.",2014-06-04 11:45:00+00:00,,,,,2014-06-04 11:45:00+00:00,2014-06-05 20:00:00+00:00,Wed,3,1.34375,1850,55620,2236,5791,24.87477638640429,Rural
269.0,CAL FIRE Tuolumne-Calaveras Unit,2014,Tuolumne,2014-06-06 09:30:00+00:00,,37.787,"off La Grange Rd (J59) at Hetch Hetchy power lines, northwest shore of Don Pedro Reservoir",-120.452,Hetch Hetchy Fire,"The Hetch Hetchy Fire started on June 5, 2014 and burned 150 acres off J59 (La Grande Rd.) at Hetch Hetchy power lines in Tuolumne County.",2014-06-05 13:04:00+00:00,,,,,2014-06-05 13:04:00+00:00,2014-06-06 09:30:00+00:00,Thu,4,0.8513888888888889,1850,55620,2236,5791,24.87477638640429,Rural
70.0,CAL FIRE Tuolumne Caleveras Unit,2014,Tuolumne,2014-09-05 09:15:00+00:00,,37.8316,Hwy 49 & Jacksonville Rd near the community of Moccasin,-120.3434,Jackson Fire,The Jackson Fire started on September 4 and burned 70 acres off Hwy 49 & Jacksonville Rd near the community of Moccasin (Tuolumne County).,2014-09-04 11:51:00+00:00,,,,,2014-09-04 11:51:00+00:00,2014-09-05 09:15:00+00:00,Thu,4,0.8916666666666666,1850,55620,2236,5791,24.87477638640429,Rural
204.0,CAL FIRE Tuolumne-Calaveras Unit,2015,Tuolumne,2015-08-04 18:00:00+00:00,,37.823,off Hwy120 and Sprague Rd near Groveland ,-120.15644,Big Creek Fire,"The Big Creek Fire started on July 29, 2015 and burned 204 acres off Hwy 120 and Sprague Rd near Groveland in Tuolumne County and burned 204 acres.",2015-07-29 16:30:00+00:00,,,,,2015-07-29 16:30:00+00:00,2015-08-04 18:00:00+00:00,Wed,3,6.062500000000001,1850,55620,2236,5791,24.87477638640429,Rural
112.0,CAL FIRE Tuolumne-Calaveras Unit,2015,"Tuolumne, Tuolumne, Tuolumne, Tuolumne",2015-08-16 19:20:00+00:00,,37.83618,"south of Hwy 108 & Tulloch Rd, south of Lake Tulloch",-120.61691,Tulloch Fire,"The Tulloch Fire started on August 15, 2015 and burned 112 acres south near Hwy 108 & Tulloch Rd, south of Lake Tulloch (Tuolumne County).",2015-08-15 16:11:00+00:00,,,,,2015-08-15 16:11:00+00:00,2015-08-16 19:20:00+00:00,Sat,6,1.13125,1850,55620,2236,5791,24.87477638640429,"Rural, Rural, Rural, Rural"
108.0,CAL FIRE Tuolumne-Calaveras Unit,2015,"Tuolumne, Shasta, San Bernardino, Madera, Solano, Lake, Nevada, Santa Clara, Santa Clara, Calaveras",2015-09-15 19:15:00+00:00,,38.04684,"off Old Oak Ranch Rd & Big Hill Rd in the Cedar Ridge area, northeast of Sonora ",-120.30188,Oak Fire,"The Oak Fire started on September 8, 2015 off Old Oak Ranch Rd & Big Hill Rd in the Cedar Ridge area, northeast of Sonora in (Tuolumne County) and burned 108 acres.",2015-09-08 13:23:00+00:00,,3.0,,,2015-09-08 13:23:00+00:00,2015-09-15 19:15:00+00:00,Tue,2,7.2444444444444445,1850,55620,2236,5791,24.87477638640429,"Rural, Suburban, Urban, Rural, Suburban, Rural, Rural, Urban, Urban, Rural"
1080.0,CAL FIRE Tuolumne-Calaveras Unit,2016,Tuolumne,2016-10-04 22:00:00+00:00,,37.79635,off Hwy. 49 and Marshes Flat Road north of Don Pedro Reservoir,-120.32484,Marshes Fire,"The Marshes Fire started on September 26 off Marshes Flat Road at highway 49 near Moccasin in Tuolumne County and burned 1,080 acres.",2016-09-26 12:20:00+00:00,,,,,2016-09-26 12:20:00+00:00,2016-10-04 22:00:00+00:00,Mon,1,8.402777777777779,1850,55620,2236,5791,24.87477638640429,Rural
32.0,CAL FIRE Tuolumne-Calaveras unit,2016,Tuolumne,2016-08-01 08:05:00+00:00,,37.81434,"Off Frymire Rd & Morrison Rd, east of Oakdale",-120.69521,Frymire Fire,"The Frymire Fire started on July 30, 2016 off Frymire Rd & Morrison Rd east of Oakdale (Tuolumne County).",2016-07-30 17:25:00+00:00,,,,,2016-07-30 17:25:00+00:00,2016-08-01 08:05:00+00:00,Sat,6,1.6111111111111107,1850,55620,2236,5791,24.87477638640429,Rural
690.0,CAL FIRE Tuolumne-Calaveras Unit,2017,Tuolumne,2018-01-09 12:09:00+00:00,,37.905545,"Jacksonville Road, south of Jamestown",-120.40813500000002,Jacksonville Fire,"The Jacksonville Fire started July 29th 1017 off Jacksonville Road, south of Jamestown (Tuolumne County) and burned 690 acres.",2017-07-29 13:50:00+00:00,,,,,2017-07-29 13:50:00+00:00,2018-01-09 12:09:00+00:00,Sat,6,163.92986111111108,1850,55620,2236,5791,24.87477638640429,Rural
124.0,CAL FIRE Tuolumne-Calaveras Unit ,2017,Tuolumne,2018-01-09 12:14:00+00:00,,37.90014,"Twist Road south of Algerine Road, Jamestown",-120.36005,Twist Fire,"The Twist Fire Started on July 30 2017 off Twist Road south of Algerine Road, Jamestown (Tuolumne County) and burned 124 acres.",2017-07-30 16:28:00+00:00,,,,,2017-07-30 16:28:00+00:00,2018-01-09 12:14:00+00:00,Sun,0,162.82361111111112,1850,55620,2236,5791,24.87477638640429,Rural
39.0,CAL FIRE Tuolumne-Calaveras Unit,2017,"Tuolumne, Siskiyou, El Dorado",2018-03-26 10:49:00+00:00,,37.89677800000001,"On Table Mountain, west of Table Mountain Road and Chicken Ranch Road, Jamestown",-120.504134,Table Fire,"The Table Fire started on September 19, 2017 On Table Mountain, west of Table Mountain Road and Chicken Ranch Road, Jamestown (Tuolumne County)and burned 39 acres. ",2017-09-19 00:22:00+00:00,,,,,2017-09-19 00:22:00+00:00,2018-03-26 10:49:00+00:00,Tue,2,188.43541666666667,1850,55620,2236,5791,24.87477638640429,"Rural, Rural, Rural"
38.0,CAL FIRE Tuolumne-Calaveras Unit,2017,"Tuolumne, Humboldt, San Luis Obispo, Madera",2018-01-09 10:31:00+00:00,,37.85137,"Red Hills Road & Six Bit Gulch Road, 2 miles southwest of Chinese Camp",-120.45268,Red Fire,"The Red Fire started on June 11, 2017 off Red Hills Road and Six Bit Gulch Road, 2 miles southwest of Chinese Camp in Tuolumne County and burned 38 acres.",2017-06-11 18:49:00+00:00,,,,,2017-06-11 18:49:00+00:00,2018-01-09 10:31:00+00:00,Sun,0,211.65416666666667,1850,55620,2236,5791,24.87477638640429,"Rural, Rural, Suburban, Rural"
20.0,CAL FIRE Tuolumne-Calaveras Unit,2017,"Tuolumne, Riverside",2018-01-09 12:16:00+00:00,,37.65986,"Off Merced Falls Rd, northwest of Lake McClure ",-120.31157,Falls Fire,"The Falls Fire started on August 8, 2017 off Merced Falls Rd, northwest of Lake McClure (Tuolumne County) and burned 20 acres.",2017-08-01 16:33:00+00:00,,,,,2017-08-01 16:33:00+00:00,2018-01-09 12:16:00+00:00,Tue,2,160.82152777777782,1850,55620,2236,5791,24.87477638640429,"Rural, Urban"
36450.0,Stanislaus National Forest,2018,Tuolumne,2019-01-04 09:26:00+00:00,,38.349,"Near Hwy 108, Donnell Lake area in the Carson Iceburg Wilderness",-119.929,Donnell Fire,"The Donnell Fire started on August 1, 2018 near Hwy 108, Donnell Lake area in the Carson Iceburg Wilderness (Tuolumne County) and 36,450 acres.",2018-08-01 17:48:00+00:00,,,,,2018-08-01 17:48:00+00:00,2019-01-04 09:26:00+00:00,Wed,3,155.65138888888887,1850,55620,2236,5791,24.87477638640429,Rural
163.0,CAL FIRE Tuolumne-Calaveras Unit,2018,"Tuolumne, Fresno, Trinity",2019-01-04 10:01:00+00:00,,37.80785,"Hwy 49 & Marshes Flat Rd, in the Community of Moccasin ",-120.30187,Flat Fire,"The Flat Fire started on June 24, 2018 off Hwy 49 & Marshes Flat Rd, in the Community of Moccasin (Tuolumne County).",2018-06-24 13:54:00+00:00,,,,,2018-06-24 13:54:00+00:00,2019-01-04 10:01:00+00:00,Sun,0,193.83819444444444,1850,55620,2236,5791,24.87477638640429,"Rural, Urban, Rural"
21.0,CAL FIRE TCU,2019,Tuolumne,2019-08-08 17:12:00+00:00,,37.949747,"10,000 Block Preston Lane, Jamestown",-120.420058,Preston Fire,"The Preston Fire started August 8 2019 in the 10000 Block Preston Lane, Jamestown Tuolumne County",2019-08-08 16:16:40+00:00,,,,,2019-08-08 16:16:40+00:00,2019-08-08 17:12:00+00:00,Thu,4,0.038425925925925926,1850,55620,2236,5791,24.87477638640429,Rural
30274.0,USFS Angeles National Forest/Los Angeles County/CAL FIRE,2013,Los Angeles,2013-06-08 18:30:00+00:00,,34.585595,Angeles National Forest,-118.423176,Powerhouse Fire,The Powerhouse Fire burned in May and June 2013 on the Angeles National Forest in Los Angeles County. ,2013-05-30 15:28:00+00:00,,,,,2013-05-30 15:28:00+00:00,2013-06-08 18:30:00+00:00,Thu,4,9.126388888888886,1850,10014009,4060,10515,2466.5046798029557,Urban
712.0,CAL FIRE/Los Angeles County ,2013,"Los Angeles, Los Angeles, Fresno, Shasta, San Diego, San Bernardino, Stanislaus, Lake",2013-05-18 19:00:00+00:00,,34.49149,I-5 Southbound at Lake Hughes Road,-118.610044,Lake Fire,"The Lake Fire burned in May 2013 off I-5 Southbound at Lake Hughes Road, in Los Angeles County. ",2013-05-17 13:23:00+00:00,,,,,2013-05-17 13:23:00+00:00,2013-05-18 19:00:00+00:00,Fri,5,1.2340277777777775,1850,10014009,4060,10515,2466.5046798029557,"Urban, Urban, Urban, Suburban, Urban, Urban, Suburban, Rural"
268.0,Angeles National Forest/Los Angeles County Fire,2013,Los Angeles,2013-09-28 08:00:00+00:00,,34.149,San Gabriel Canyon 1/4 mile west of the entrance station,-117.908,Madre Fire,The Madre Fire burned September 2013 in the San Gabriel Canyon in Los Angeles County.,2013-09-23 18:00:00+00:00,,,,,2013-09-23 18:00:00+00:00,2013-09-28 08:00:00+00:00,Mon,1,4.583333333333333,1850,10014009,4060,10515,2466.5046798029557,Urban
149.0,Los Angeles County Fire Department,2013,Los Angeles,2013-05-29 15:30:00+00:00,,34.419284000000005,off Magic Mtn Parkway in Valencia,-118.58688,Magic Fire,"The Magic Fire burned in May 2013, off Magic Mountain Parkway in Valencia in Los Angeles County. ",2013-05-28 11:30:00+00:00,,,,,2013-05-28 11:30:00+00:00,2013-05-29 15:30:00+00:00,Tue,2,1.1666666666666667,1850,10014009,4060,10515,2466.5046798029557,Urban
1952.0,Angeles National Forest and LA County Fire Department,2014,Los Angeles,2014-01-27 10:00:00+00:00,,34.1703,"near Morris Reservoir, north of Glendora",-117.8816,Colby Fire,"The Colby Fire started on January 16, 2014 and burned 1,952 acres near Morris Reservoir, north of Glendora in Los Angeles County. ",2014-01-16 05:50:00+00:00,,,,,2014-01-16 05:50:00+00:00,2014-01-27 10:00:00+00:00,Thu,4,11.173611111111114,1850,10014009,4060,10515,2466.5046798029557,Urban
274.0,US Forest Service - Angeles National Forest,2014,Los Angeles,2014-12-12 13:30:00+00:00,,34.267,"18 miles north of Glendora, off Highway 39 and mile marker 28.",-117.867,Tecolote Fire,"The Tecolote Fire started August 17, 2014 burned 274 acres 18 miles north of Glendora, off Highway 39 and mile marker 28 on the Angeles National Forest in Los Angeles County.",2014-08-17 14:30:00+00:00,,,,,2014-08-17 14:30:00+00:00,2014-12-12 13:30:00+00:00,Sun,0,116.95833333333331,1850,10014009,4060,10515,2466.5046798029557,Urban
190.0,US Forest Service - Angeles National Forest,2014,Los Angeles,2014-12-12 14:00:00+00:00,,34.235,"upper end of East Fork San Gabriel River, North of Glendora",-117.771,Shoemaker Fire,"The Shoemaker Fire started on August 14, 2014 and burned 190 acres on the upper end of East Fork of the San Gabriel River, north of Glendora on the Angeles National Forest in Los Angeles County.",2014-08-14 12:48:00+00:00,,,,,2014-08-14 12:48:00+00:00,2014-12-12 14:00:00+00:00,Thu,4,120.05,1850,10014009,4060,10515,2466.5046798029557,Urban
415.0,Los Angeles County Fire ,2015,Los Angeles,2015-06-26 17:00:00+00:00,,34.361007,"Southbound Interstate 5, North of Calgrove, Santa Clarita ",-118.535793,Calgrove Fire ,"The Calgrove Fire started on June 24 and burned 415 acres off Southbound Interstate 5, North of Calgrove in Santa Clarita (Los Angeles County.",2015-06-24 13:22:00+00:00,,,,,2015-06-24 13:22:00+00:00,2015-06-26 17:00:00+00:00,Wed,3,2.1513888888888895,1850,10014009,4060,10515,2466.5046798029557,Urban
200.0,USFS - Angeles National Forest ,2015,Los Angeles,2015-08-04 08:15:00+00:00,,34.367,Angeles Crest Highway (Hwy 2) north of Wrightwood and near Big Pines,-117.683,Pines Fire ,The Pines Fire started on July 17 off Angeles Crest Highway (Hwy 2) north of Wrightwood and near Big Pines on the Angeles National Forest in Los Angeles County and burned 200 acres. ,2015-07-17 21:30:00+00:00,,,,,2015-07-17 21:30:00+00:00,2015-08-04 08:15:00+00:00,Fri,5,17.447916666666668,1850,10014009,4060,10515,2466.5046798029557,Urban
4824.0,Angeles National Forest ,2016,Los Angeles,2016-11-14 14:00:00+00:00,,34.31,Lake View Terrace,-118.335,Marek Fire,The Marek Fire started north of Lake View Terrace in the Los Angeles National Forest. ,2016-11-14 05:45:00+00:00,,,,,2016-11-14 05:45:00+00:00,2016-11-14 14:00:00+00:00,Mon,1,0.3437500000000001,1850,10014009,4060,10515,2466.5046798029557,Urban
1109.0,Los Angeles County Fire,2016,Los Angeles,2016-07-16 12:00:00+00:00,,34.36763,"off of Calgrove Blvd, southwest of Santa Clarita",-118.57245,Sage Fire,"The Sage Fire started on July 9, 2016 off of Calgrove Blvd, southwest of Santa Clarita (Los Angeles County)",2016-07-09 12:04:00+00:00,,,,,2016-07-09 12:04:00+00:00,2016-07-16 12:00:00+00:00,Sat,6,6.997222222222222,1850,10014009,4060,10515,2466.5046798029557,Urban
156.0,LA County Fire Department/Angeles National Forest,2016,Los Angeles,2016-05-25 18:45:00+00:00,,34.276,"Hwy 210 and Wheatland Ave, southeast of Lake View Terrace",-118.354,Wheatland Fire,"The Wheatland Fire started on May 23, southeast of the Lakeview Terrace, Los Angeles County and burned 156 acres.",2016-05-23 14:15:00+00:00,,,,,2016-05-23 14:15:00+00:00,2016-05-25 18:45:00+00:00,Mon,1,2.1875,1850,10014009,4060,10515,2466.5046798029557,Urban
0.0,Los Angeles County Fire,2016,"Los Angeles, Los Angeles",2016-04-19 15:30:00+00:00,,34.6888731,off northbound Interstate 5 at Gorman Creek,-118.78925929999998,Gorman Fire,"The Gorman Fire burned off northbound Interstate 5 at Gorman Creek on April 19, 2016, in Los Angeles County.",2016-04-19 13:09:00+00:00,,,,,2016-04-19 13:09:00+00:00,2016-04-19 15:30:00+00:00,Tue,2,0.09791666666666668,1850,10014009,4060,10515,2466.5046798029557,"Urban, Urban"
